PARM	PARM_DESCRIPTION	Description	Label
AGUT	SILVER,   UNFILTERED TOTAL	SILVER,   UNFILTERED TOTAL;MICROGRAM PER LITER	Ag (µg/L)
ALKT	ALKALINITY, TOTAL	ALKALINITY, TOTAL;MILLIGRAM PER LITER	Alk (mg/L)
ALUT	ALUMINIUM, UNFILTERED TOTAL	ALUMINIUM, UNFILTERED TOTAL;MICROGRAM PER LITER	Al (µg/L)
ANIONS	ANIONS	ANIONS;MILLIEQUIVALENTS/LITER	Anions (meq/L)
ASUT	ARSENIC,    UNFILTERED TOTAL	ARSENIC,    UNFILTERED TOTAL;MILLIGRAM PER LITER	As (µg/l)
BAUT	BARIUM,  UNFILTERED TOTAL	BARIUM,  UNFILTERED TOTAL;MICROGRAM PER LITER	Ba (µg/L)
BEUT	BERYLIUM,UNFILTERED TOTAL	BERYLIUM,UNFILTERED TOTAL;MICROGRAM PER LITER	Be (µg/L)
BIUT	BISMUTH, UNFILTERED TOTAL	BISMUTH, UNFILTERED TOTAL;MICROGRAM PER LITER	Bi (µg/L)
BOD5	BOD,  5 DAY,  TOTAL DEMAND	BOD,  5 DAY,  TOTAL DEMAND;MILLIGRAM PER LITER	BOD (mg/L)
CAUT	CALCIUM, UNFILTERED TOTAL	CALCIUM, UNFILTERED TOTAL;MILLIGRAM PER LITER	Ca (mg/L)
CDUT	CADMIUM, UNFILTERED TOTAL	CADMIUM, UNFILTERED TOTAL;MICROGRAM PER LITER	Cd (µg/L)
CHLRAC	CHLOROPHYLL-A, CORRECTED	CHLOROPHYLL-A, CORRECTED;MICROGRAM PER LITER	
CHLRAT	CHLOROPHYLL-A, TOTAL	CHLOROPHYLL-A, TOTAL;MICROGRAM PER LITER	
CHLRBT	CHLOROPHYLL-B, TOTAL	CHLOROPHYLL-B, TOTAL;MICROGRAM PER LITER	
CLIDUR	CHLORIDE,         UNFIL.REAC	CHLORIDE,         UNFIL.REAC;MILLIGRAM PER LITER	Cl (mg/L)
COD	CHEMICAL OXYGEN DEMAND	CHEMICAL OXYGEN DEMAND;MILLIGRAM PER LITER	
COLTR	COLOUR, TRUE	COLOUR, TRUE;TRUE COLOUR UNITS (TCU)	
COND25	CONDUCTIVITY, 25C	CONDUCTIVITY, 25C;MICRO SIEMENS PER CENTIMETER	Cond(µS, 25°)
CONDAM	CONDUCTIVITY, AMBIENT	CONDUCTIVITY, AMBIENT;MICROMHOS/CM (CONDUCTIVITY)	Cond(µS, ambient)
CONDTY	CONDUCTIVITY, ESTIMATED	CONDUCTIVITY, ESTIMATED;MICRO SIEMENS PER CENTIMETER	
COUT	COBALT,   UNFILTERED TOTAL	COBALT,   UNFILTERED TOTAL;MICROGRAM PER LITER	
CRUT	CHROMIUM, UNFILTERED TOTAL	CHROMIUM, UNFILTERED TOTAL;MICROGRAM PER LITER	Cr (µg/L)
CUUT	COPPER,   UNFILTERED TOTAL	COPPER,   UNFILTERED TOTAL;MICROGRAM PER LITER	Cu (µg/L)
DIC	CARBON, DISSOLVED INORGANIC	CARBON, DISSOLVED INORGANIC;MILLIGRAM PER LITER	DIC (mg/L)
DO	DISSOLVED OXYGEN	DISSOLVED OXYGEN;MILLIGRAM PER LITER	DO (mg/L)
DOC	CARBON, DISSOLVED ORGANIC	CARBON, DISSOLVED ORGANIC;MILLIGRAM PER LITER	
ECMF	ESCHERICHIA COLI MF	ESCHERICHIA COLI MF;COUNTS	
FEUT	IRON,     UNFILTERED TOTAL	IRON,     UNFILTERED TOTAL;MICROGRAM PER LITER	Fe (µg/L)
FSMF	FECAL STREPTOCOCCUS MF	FECAL STREPTOCOCCUS MF;COUNTS	
FWPH	PH FIELD	PH FIELD;NO DIMENSION/SCALE	Ph field
FWSTRC	STREAM CONDITION	STREAM CONDITION;NO DIMENSION/SCALE	
FWTEMP	TEMPERATURE, WATER	TEMPERATURE, WATER;DEGREES CELSIUS	
GROSSA	GROSS ALPHA-HIVOLS-RPL	GROSS ALPHA-HIVOLS-RPL;BECQUEREL PER LITRE	
GROSSB	GROSS B-HIVOLS-RPL	GROSS B-HIVOLS-RPL;BECQUEREL PER LITRE	
HARDT	HARDNESS,   TOTAL	HARDNESS,   TOTAL;MILLIGRAM PER LITER	
HGUT	MERCURY,  UNFILTERED TOTAL	MERCURY,  UNFILTERED TOTAL;MICROGRAM PER LITER	
HH3	TRITIUM,  (HYDROGEN 3)	TRITIUM,  (HYDROGEN 3);BECQUEREL PER LITRE	
