STATION_NAME	RIVER_NAME	LOCATION	lon	lat	STATUS	FIRST_YR	LAST_YR	TOTAL_YRS	MISS_YRS
S-14002809102	Levey Creek	Hwy 144, outlet of Whitewater Lake	-81.19623523	46.52354214	A	2007.00	2016.00	10.00	0.00
S-06008000702	Etobicoke Creek West	Dixie Rd, W of Derry Rd, Mississauga	-79.67950823	43.67833164	A	2002.00	2016.00	15.00	0.00
S-19006400502	Abitibi River	Dwnstrm Abitibi Paper Company, Iroquois Falls	-80.67707698	48.77551239	I	1968.00	1993.00	14.00	12.00
S-19006400602	Abitibi River	Upstream Abitibi Paper Company, Iroquois Falls	-80.67018936	48.76184827	I	1968.00	1992.00	14.00	11.00
S-19006402202	Abitibi River	At ferry to Gardiner, Hwy 579, Cochrane	-81.06696286	49.29755164	I	1978.00	1979.00	2.00	0.00
S-19006402302	Abitibi River	Hwy 574, E. of Cochrane	-80.86297961	49.05883627	I	1978.00	1994.00	16.00	1.00
S-19006403002	Abitibi River	Dwnstrm Abitibi Iroquois Falls, E. of Hwy 579	-80.95679111	49.18738764	I	1980.00	1987.00	4.00	4.00
S-19006403102	Abitibi River	Immediately dwnstrm dam, upstrm Mill discharge	-80.66765598	48.76170002	I	1980.00	1987.00	7.00	1.00
S-19006403202	Abitibi River	400m upstrm Abitibi Mill and Iroquois Falls dam	-80.67278898	48.75721702	I	1980.00	1984.00	5.00	0.00
S-19006403602	Abitibi River	West of CPR Railway at Onakwana	-81.40833636	50.64408090	I	1983.00	1983.00	1.00	0.00
S-19005300102	Albany River	Near Nottick Island	-86.39293099	51.65119202	I	1983.00	1983.00	1.00	0.00
S-19005300302	Albany River	Near Hat Island	-83.38937799	51.34785002	I	1983.00	1983.00	1.00	0.00
S-19001800202	Asheweig River	At Straight Lake	-87.82164886	53.79996590	I	1983.00	1983.00	1.00	0.00
S-19004300102	Attawapiskat River	At WSC gauge 04FC001, below Muketei River	-85.06488319	53.09002632	A	1983.00	2015.00	4.00	29.00
S-19000103202	Balmer Creek	200m upstrm Chukuni River, dwnstrm Balmertown	-93.73668137	51.02976440	I	1972.00	1996.00	25.00	0.00
S-19000800702	Big Trout Lake	At Trout Lake	-89.86392749	53.82505840	I	1983.00	1983.00	1.00	0.00
S-19006400702	Black River	Hwy 101, Matheson	-80.46401886	48.53937427	I	1968.00	1993.00	17.00	9.00
S-19005300502	Cat River	North Bamaji Lake, E. of Konegon Lake	-91.61912112	51.15395327	I	1983.00	1983.00	1.00	0.00
S-19006404102	Cochrane Landfill Drainage	Road btwn Conc 2 and 3, E. of Western Ave	-81.02593548	49.08055752	I	1988.00	1989.00	2.00	0.00
S-19006404202	Cochrane Landfill Drainage	Leachate spring,N side of landfill, E. Western Av	-81.02982886	49.07820677	I	1988.00	1989.00	2.00	0.00
S-19006404302	Cochrane Landfill Drainage	Stream entering pond at golf course,E Western Ave	-81.02598361	49.07492864	I	1988.00	1989.00	2.00	0.00
S-19006404402	Cochrane Landfill Drainage	E Side of Golfcourse Rd and rd to school	-81.02483223	49.07565552	I	1988.00	1989.00	2.00	0.00
S-19006404702	Driftwood River	Hwy 101, Shillington	-80.68703511	48.53778789	I	1991.00	1992.00	2.00	0.00
S-19004300202	Ekwan River	Otoskwin River below Badesdawa	-89.60193812	51.82381977	I	1983.00	1983.00	1.00	0.00
